StationCode,SamplingPoint,"""Countrycode",Timezone,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,AirQualityStationNatCode,SamplingProces,Sample,AirPollutantCode,ObservationDateBegin,ObservationDateEnd,Projection,Longitude,Latitude,Altitude,MeasurementType,AirQualityStationType,AirQualityStationArea,EquivalenceDemonstrated,MeasurementEquipment,InletHeight,BuildingDistance,"KerbDistance""",Air Quality Station Name
FI_5_15458,SPO-FI00356_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI002A,STA-FI00356,FI00356,356,SPP-FI_A_BETA_thermo5030SHARP,SPO_F-FI00356_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2011-01-01T00:00:00,,EPSG:4979,24.112330000000004,67.96714999962705,566.0,automatic,background,rural,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,5,-999,"-999""",,Sammaltunturi
FI_5_15476,SPO-FI00080_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00080,FI00080,80,SPP-FI_A_1119_21_5,SPO_F-FI00080_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2017-11-08T00:00:00,2018-01-01T00:00:00,EPSG:4979,28.873690000000003,61.238069999547584,101.0,automatic,industrial,suburban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1405,4,1,"20""",Rautionkylä
FI_5_15487,SPO-FI00425_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00425,FI00425,425,SPP-FI_A_1413_7_5,SPO_F-FI00425_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2018-01-25T00:00:00,,EPSG:4979,24.9506,60.18738999953731,18.0,automatic,background,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1405,4,-999,"65""",Kallio 2
FI_5_15489,SPO-FI00179_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI026A,STA-FI00179,FI00179,179,SPP-FI_A_1425_31_5,SPO_F-FI00179_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2017-01-01T00:00:00,2022-04-07T00:00:00,EPSG:4979,22.14306,61.331639999548514,39.0,automatic,industrial,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,6,"100""",Pirkkala
FI_5_15501,SPO-FI00184_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI026A,STA-FI00184,FI00184,184,SPP-FI_N_IC_00655,SPO_F-FI00184_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,22.1369,61.314499999548346,37.0,active,industrial,suburban,4,10,"500""",,,Kaleva
FI_5_15505,SPO-FI00564_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00564,FI00564,564,SPP-FI_A_45_7_5,SPO_F-FI00564_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2005-01-04T00:00:00,2017-01-01T00:00:00,EPSG:4979,24.93924,60.16963999953714,7.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,4,6,"3""",Mannerheimintie
FI_5_15512,SPO-FI00455_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI012A,STA-FI00455,FI00455,455,SPP-FI_N_IC_00655,SPO_F-FI00455_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,25.65489,60.96703999954487,85.0,active,traffic,suburban,4,31,"30""",,,Laune
FI_5_15531,SPO-FI00431_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI011A,STA-FI00431,FI00431,431,SPP-FI_A_1606_23_5,SPO_F-FI00431_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2020-01-01T00:00:00,2022-01-13T00:00:00,EPSG:4979,25.71114,62.289909999558496,143.0,automatic,background,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200S,4,-999,"150""",Palokka 2
FI_5_15549,SPO-FI00511_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI032A,STA-FI00511,FI00511,511,SPP-FI_A_1596_37_5,SPO_F-FI00511_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2020-06-12T00:00:00,2021-01-01T00:00:00,EPSG:4979,29.763400000000004,62.59908999956178,80.0,automatic,background,urban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200E,6,-999,"35""",Koskikatu 1
FI_5_15554,SPO-FI00378_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00378,FI00378,378,SPP-FI_A_1416_21_5,SPO_F-FI00378_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2018-01-01T00:00:00,,EPSG:4979,28.26409,61.071939999545926,105.0,automatic,traffic,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,1,"50""",Lauritsala
FI_5_15557,SPO-FI00301_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI006A,STA-FI00301,FI00301,301,SPP-FI_A_TEOM_TEOM1400,SPO_F-FI00301_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,1991-02-01T00:00:00,,EPSG:4979,25.4979,65.04337999958949,18.0,automatic,background,suburban,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400,4,-999,"-999""",,Pyykösjärvi
FI_5_15578,SPO-FI00893_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI002A,STA-FI00893,FI00893,893,SPP-FI_A_1488_1_5,SPO_F-FI00893_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2017-01-01T00:00:00,2020-10-19T00:00:00,EPSG:4979,27.675400000000003,60.53001999954058,4.0,automatic,background,rural,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,5,-999,"-999""",Virolahti 2
FI_5_15584,SPO-FI00558_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI016A,STA-FI00558,FI00558,558,SPP-FI_A_TEOM_TEOM1400A,SPO_F-FI00558_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2006-03-07T00:00:00,,EPSG:4979,27.686879999999995,62.89333999956501,87.0,automatic,traffic,urban,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,8,"35""",,Maaherrankatu
FI_5_15609,SPO-FI00446_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI006A,STA-FI00446,FI00446,446,SPP-FI_A_1440_22_5,SPO_F-FI00446_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2017-01-01T00:00:00,,EPSG:4979,25.47132,65.00996999958907,5.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1405,4,7,"5""",Oulun keskusta 2
FI_5_15614,SPO-FI00606_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00606,FI00606,606,SPP-FI_A_293_21_5,SPO_F-FI00606_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2016-12-23T00:00:00,2018-01-01T00:00:00,EPSG:4979,28.18431,61.05575999954576,106.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,3.5,1,"4""",Lappeenrannan keskusta 4
FI_5_15624,SPO-FI00438_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI015A,STA-FI00438,FI00438,438,SPP-FI_A_187_15_5,SPO_F-FI00438_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2001-10-01T00:00:00,2019-01-01T00:00:00,EPSG:4979,26.94621,60.51315999954043,6.0,automatic,industrial,suburban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,4,-999,"6""",Rauhala
FI_5_15630,SPO-FI00838_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI003A,STA-FI00838,FI00838,838,SPP-FI_N_IC_00655,SPO_F-FI00838_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,23.67583,61.50853999955034,100.0,active,traffic,suburban,4,12,"8""",,,Epila 2
FI_5_15643,SPO-FI00839_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI016A,STA-FI00839,FI00839,839,SPP-FI_A_TEOM_TEOM1400A,SPO_F-FI00839_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2009-12-21T00:00:00,,EPSG:4979,27.66193,62.88197999956488,107.0,automatic,traffic,urban,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,3,"15""",,Tasavallankatu
FI_5_15649,SPO-FI00404_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI022A,STA-FI00404,FI00404,404,SPP-FI_N_IC_00655,SPO_F-FI00404_00005_100_101,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,23.1316,63.83763999957559,10.0,active,traffic,urban,4,0.3,"15""",,,Keskusta Pitkänsillankatu
FI_5_15677,SPO-FI00546_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI017A,STA-FI00546,FI00546,546,SPP-FI_A_458_42_5,SPO_F-FI00546_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2014-01-03T00:00:00,2016-01-05T00:00:00,EPSG:4979,27.273340000000005,61.68635999955217,89.0,automatic,traffic,urban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,3.5,5,"5""",Porrassalmenkatu
FI_5_15691,SPO-FI00570_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI001A,STA-FI00570,FI00570,570,SPP-FI_A_519_36_5,SPO_F-FI00570_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2005-01-01T00:00:00,2017-01-01T00:00:00,EPSG:4979,24.48162,64.68336999958511,3.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,10,"4""",Raahen keskusta 2
FI_5_15731,SPO-FI00586_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI028A,STA-FI00586,FI00586,586,SPP-FI_N_IC_00655,SPO_F-FI00586_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,21.61267,63.09350999956722,16.0,active,background,urban,5,-999,"81""",,,Vaasa vesitorni
FI_5_15774,SPO-FI00208_00005_101,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00208,FI00208,208,SPP-FI_A_1598_7_5,SPO_F-FI00208_00005_101_101,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2021-01-01T00:00:00,,EPSG:4979,24.68486,60.31438999953852,55.0,automatic,background,rural,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200,4.5,-999,"800""",Luukki
FI_5_15785,SPO-FI00424_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00424,FI00424,424,SPP-FI_A_1423_21_5,SPO_F-FI00424_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2018-01-01T00:00:00,,EPSG:4979,28.77012,61.18891999954708,75.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1405,3,1,"100""",Mansikkala
FI_5_15803,SPO-FI00841_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00841,FI00841,841,SPP-FI_A_1598_7_5,SPO_F-FI00841_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2021-05-20T00:00:00,,EPSG:4979,24.81133,60.22023999953761,9.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200,4,65,"14""",Leppävaara 4
FI_5_15806,SPO-FI00370_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00370,FI00370,370,SPP-FI_A_light-scat_GRIMM-EDM180,SPO_F-FI00370_00005_100_101,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2008-12-30T00:00:00,,EPSG:4979,25.03953,60.28994999953828,18.0,automatic,traffic,urban,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GRIMM-EDM180,4,-999,"8""",,Tikkurila 3
FI_5_15839,SPO-FI00283_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00283,FI00283,283,SPP-FI_A_293_21_5,SPO_F-FI00283_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2006-10-01T00:00:00,2018-01-01T00:00:00,EPSG:4979,28.1765,61.0408199995456,84.0,automatic,traffic,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,1,"50""",Ihalainen
FI_5_15853,SPO-FI00781_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00781,FI00781,781,SPP-FI_N_IC_00655,SPO_F-FI00781_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,25.10244,60.22392999953766,14.0,active,background,suburban,3,-999,"60""",,,Vartiokylä Huivipolku
FI_5_15870,SPO-FI00549_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI003A,STA-FI00549,FI00549,549,SPP-FI_A_TEOM_TEOM1400A,SPO_F-FI00549_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2004-03-19T00:00:00,,EPSG:4979,23.735690000000005,61.49872999955023,120.0,automatic,traffic,urban,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,4,10,"15""",,Pirkankatu
FI_5_15904,SPO-FI00434_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00434,FI00434,434,SPP-FI_N_IC_00655,SPO_F-FI00434_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,28.49849,61.11708999954636,103.0,active,traffic,suburban,3,1,"5""",,,Joutsenon keskusta
FI_5_15938,SPO-FI00397_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI029A,STA-FI00397,FI00397,397,SPP-FI_A_1571_49_5,SPO_F-FI00397_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2018-01-01T00:00:00,,EPSG:4979,22.71837,63.679119999573786,8.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400,3,15,"10""",Bottenviksvägen
FI_5_15986,SPO-FI00465_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI028A,STA-FI00465,FI00465,465,SPP-FI_A_1388_12_5,SPO_F-FI00465_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2016-01-01T00:00:00,,EPSG:4979,21.618320000000004,63.09514999956724,15.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroMP101M,4,8,"4""",Vaasan keskusta
FI_5_15988,SPO-FI00433_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI020A,STA-FI00433,FI00433,433,SPP-FI_A_BETA_andersenFH62IR,SPO_F-FI00433_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,1994-08-01T00:00:00,,EPSG:4979,28.81014,61.15303999954673,62.0,automatic,industrial,suburban,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,3,1,"50""",,Teppanala
FI_5_34794,SPO-FI00889_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI012A,STA-FI00889,FI00889,889,SPP-FI_A_1649_25_5,,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,EPSG:4979,,,25.66579,60.99128999954512,85.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200,-999,-999,"-999""",Saimaankatu
FI_5_50409,SPO-FI00902_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI004A,STA-FI00902,FI00902,902,SPP-FI_A_45_7_5,SPO_F-FI00902_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2015-01-27T00:00:00,2015-03-31T00:00:00,EPSG:4979,24.95198000000001,60.19643999953741,25.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,4,4,"1""",Mäkelänkatu
FI_5_56712,SPO-FI00892_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI024A,STA-FI00892,FI00892,892,SPP-FI_A_257_19_5,SPO_F-FI00892_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2013-11-06T00:00:00,2017-01-01T00:00:00,EPSG:4979,26.701,60.87044999954392,75.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/TEOM1400A,3.5,50,"6""",Kankaan Koulu
FI_5_60955,SPO-FI00928_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI018A,STA-FI00928,FI00928,928,SPP-FI_A_1588_27_5,SPO_F-FI00928_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2020-06-01T00:00:00,,EPSG:4979,21.81329,61.48225999955007,2.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200,4,17,"5""",Pori Paanakedonkatu
FI_5_69637,SPO-FI00952_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI011A,STA-FI00952,FI00952,952,SPP-FI_A_1574_23_5,SPO_F-FI00952_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2019-10-16T00:00:00,2020-01-01T00:00:00,EPSG:4979,25.747879999999995,62.238169999557925,82.0,automatic,traffic,urban,inprogress,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/FIDAS200S,4,-999,"30""",Jyväskylä Hannikaisenkatu
FI_5_69642,SPO-FI00972_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI021A,STA-FI00972,FI00972,972,SPP-FI_A_1478_32_5,SPO_F-FI00972_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2020-01-01T00:00:00,,EPSG:4979,24.06947,60.24902999953789,70.0,automatic,background,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GRIMM-EDM180,4,-999,"-999""",Lohja Harjula
FI_5_70766,SPO-FI00444_00005_100,"""FI",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,FI.FMI.AQ,NET-FI013A,STA-FI00444,FI00444,444,SPP-FI_A_1470_8_5,SPO_F-FI00444_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2016-08-10T00:00:00,,EPSG:4979,22.028400000000005,60.46743999954,14.0,automatic,traffic,urban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/enviroMP101M,3,-999,"6""",Naantalin keskusta
IS_5_23743,SPO-IS0025A_00005_100,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0025A,IS0025A,Gru_Kri,SPP-IS_A_BETA_thermo5030SHARP_kri,SPO_F-IS0025A_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2010-04-15T00:00:00,,EPSG:4979,-21.759139,64.373583,7.0,automatic,industrial,rural,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,4,-999,"-999""",Grundartangi Kríuvarða
IS_5_45497,SPO-IS0006A_00005_100,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS002A,STA-IS0006A,IS0006A,Rvk_FHG,SPP-IS_A_BETA_andersenFH621N2,SPO_F-IS0006A_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2002-08-08T00:00:00,,EPSG:4979,-21.873411,64.13886100000002,19.0,automatic,background,urban,no,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,4,-999,"-999""",Reykjavik Husdyragardurinn
IS_5_45503,SPO-IS0005A_00005_102,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS002A,STA-IS0005A,IS0005A,Rvk_Gre,SPP-IS_A_BETA_andersenFH621N,SPO_F-IS0005A_00005_102_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2002-08-08T00:00:00,2018-08-31T00:00:00,EPSG:4979,-21.87465,64.1301,31.0,automatic,traffic,urban,no,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/andersenFH62IR,3.92,20,"5""",Reykjavik Grensas
IS_5_45504,SPO-IS0002A_00005_101,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS002A,STA-IS0002A,IS0002A,Hfj_Hva,SPP-IS_A_BETA_thermo5030SHARP,SPO_F-IS0002A_00005_101_101,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2007-08-18T00:00:00,,EPSG:4979,-21.990733,64.058867,24.0,automatic,background,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,3,-999,"-999""",Hafnarfjörður Hvaleyrarholt
IS_5_52109,SPO-IS0037A_00005_100,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,Kop_Dal,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2014-05-29T00:00:00,,EPSG:4979,-21.889,64.10495,10.0,automatic,background,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,4,-999,"-999""",Kópavogur Dalsmári
IS_5_52149,SPO-IS0041A_00005_100,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS006A,STA-IS0041A,IS0041A,Gru_Gro,SPP-IS_A_BETA_thermo5030SHARP_gro,SPO_F-IS0041A_00005_100_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2014-02-12T00:00:00,,EPSG:4979,-21.835686,64.33416400000002,317.0,automatic,industrial,rural,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP,4,-999,"-999""",Grundartangi Gröf
IS_5_61402,SPO-IS0046A_00005_101,"""IS",http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0046A,IS0046A,Hfj_Nor,SPP-IS_GRIMM_PM10_Nodurh,SPO_F-IS0046A_00005_101_100,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,2016-05-09T00:00:00,,EPSG:4979,-21.98535,64.04416,19.0,automatic,industrial,suburban,yes,http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GRIMM-EDM180,4,-999,"-999""",Hafnarfjörður Norðurhella
